University_name,Region,Total_years,Founded_year,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),Latitude,Longitude
Plymouth Marjon University,South West England,99,1923,9250,9250,50.4201,-4.11
University of Bradford,Yorkshire and the Humber,56,1966,12100,12650,53.7915,-1.7661
Kingston University,London,30,1992,11300,12500,51.4032,-0.3035
Middlesex University,London,49,1973,11200,13000,51.5897,-0.2293
University of the West of Scotland,Scotland,125,1897,11000,11000,55.7782,-4.1041
University of Sunderland,North East England,30,1992,8350,9600,54.9046,-1.3915
Bath Spa University,South West England,47,1975,11300,11300,51.3749,-2.4394
University of Salford,North West England,55,1967,11795,12000,53.4872,-2.2737
Cardiff Metropolitan University,Wales,11,2011,10800,12500,51.496,-3.2121
Buckinghamshire New University,South East England,15,2007,9500,10600,51.6279,-0.7533
University of South Wales,Wales,181,1841,10100,10300,51.479,-3.1694
Newman University,West Midlands,54,1968,10500,10500,52.433,-1.9936
University of Northampton,East Midlands,17,2005,10700,10700,52.2305,-0.887
Leeds Trinity University,Yorkshire and the Humber,10,2012,10750,11250,53.8483,-1.6453
Canterbury Christ Church University,South East England,17,2005,11000,9500,51.2795,1.0899
University of Westminster,London,184,1838,12000,14000,51.517,-0.1432
Anglia Ruskin University,East of England,164,1858,10500,10500,52.2033,0.1345
University of Cumbria,North West England,15,2007,10500,10500,54.8909,-2.9222
University of Brighton,South East England,30,1992,12660,12830,50.8598,-0.0879
Leeds Beckett University,Yorkshire and the Humber,30,1992,9500,11500,53.8035,-1.548
University of Wolverhampton,West Midlands,30,1992,10000,10000,52.5876,-2.1273
University of Bolton,North West England,18,2004,11250,11250,53.5742,-2.4362
London Metropolitan University,London,174,1848,11400,13500,51.5526,-0.1113
University of East London,London,30,1992,10700,11700,51.5076,0.0651
University of Bedfordshire,East of England,16,2006,9750,9900,51.8779,-0.4093
University of Suffolk,East of England,15,2007,9495,9495,52.0523,1.1629
Wrexham Glyndwr University,Wales,14,2008,10250,10500,53.0526,-3.0062
Ravensbourne University London,London,60,1962,9250,9250,51.5017,0.0055
